Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
814,8:43.96,8:47.24,9:24.52,9:30.99,14:58.68,15:10.19,31:43.63,1:23.56,1:25.31,1:57.88,1:59.78,2:32.36,2:35.46,4:03.50,4:06.78,4:22.71,4:26.47,5:34.81,5:38.21,6:17.91,9:45.71
815,8:43.77,8:47.05,9:24.31,9:30.78,14:58.35,15:09.87,31:42.86,1:23.53,1:25.28,1:57.84,1:59.74,2:32.30,2:35.41,4:03.42,4:06.69,4:22.62,4:26.38,5:34.69,5:38.10,6:17.74,9:45.45
816,8:43.57,8:46.86,9:24.10,9:30.58,14:58.02,15:09.54,31:42.10,1:23.50,1:25.25,1:57.80,1:59.70,2:32.25,2:35.35,4:03.33,4:06.61,4:22.52,4:26.29,5:34.57,5:37.98,6:17.57,9:45.18
817,8:43.38,8:46.67,9:23.89,9:30.37,14:57.69,15:09.22,31:41.33,1:23.47,1:25.23,1:57.76,1:59.66,2:32.20,2:35.30,4:03.24,4:06.52,4:22.43,4:26.20,5:34.45,5:37.86,6:17.39,9:44.91
818,8:43.19,8:46.48,9:23.68,9:30.17,14:57.36,15:08.89,31:40.57,1:23.44,1:25.20,1:57.72,1:59.62,2:32.15,2:35.25,4:03.16,4:06.44,4:22.34,4:26.11,5:34.33,5:37.75,6:17.22,9:44.65
819,8:42.99,8:46.29,9:23.47,9:29.96,14:57.03,15:08.57,31:39.80,1:23.41,1:25.17,1:57.68,1:59.58,2:32.10,2:35.20,4:03.07,4:06.35,4:22.24,4:26.01,5:34.21,5:37.63,6:17.05,9:44.38
820,8:42.80,8:46.09,9:23.26,9:29.75,14:56.69,15:08.24,31:39.04,1:23.39,1:25.14,1:57.64,1:59.54,2:32.04,2:35.15,4:02.98,4:06.27,4:22.15,4:25.92,5:34.09,5:37.51,6:16.88,9:44.12
821,8:42.61,8:45.90,9:23.06,9:29.55,14:56.36,15:07.92,31:38.28,1:23.36,1:25.11,1:57.60,1:59.50,2:31.99,2:35.09,4:02.90,4:06.18,4:22.06,4:25.83,5:33.98,5:37.40,6:16.70,9:43.85
822,8:42.41,8:45.71,9:22.85,9:29.34,14:56.03,15:07.60,31:37.52,1:23.33,1:25.09,1:57.56,1:59.46,2:31.94,2:35.04,4:02.81,4:06.10,4:21.96,4:25.74,5:33.86,5:37.28,6:16.53,9:43.58
823,8:42.22,8:45.52,9:22.64,9:29.14,14:55.70,15:07.27,31:36.75,1:23.30,1:25.06,1:57.52,1:59.43,2:31.89,2:34.99,4:02.72,4:06.01,4:21.87,4:25.65,5:33.74,5:37.17,6:16.36,9:43.32
824,8:42.03,8:45.33,9:22.43,9:28.93,14:55.37,15:06.95,31:35.99,1:23.27,1:25.03,1:57.48,1:59.39,2:31.84,2:34.94,4:02.64,4:05.93,4:21.78,4:25.56,5:33.62,5:37.05,6:16.19,9:43.05
825,8:41.83,8:45.14,9:22.23,9:28.73,14:55.04,15:06.63,31:35.23,1:23.25,1:25.00,1:57.45,1:59.35,2:31.78,2:34.89,4:02.55,4:05.84,4:21.68,4:25.47,5:33.50,5:36.93,6:16.01,9:42.79
826,8:41.64,8:44.95,9:22.02,9:28.52,14:54.71,15:06.30,31:34.47,1:23.22,1:24.97,1:57.41,1:59.31,2:31.73,2:34.84,4:02.46,4:05.76,4:21.59,4:25.38,5:33.39,5:36.82,6:15.84,9:42.52
827,8:41.45,8:44.76,9:21.81,9:28.32,14:54.38,15:05.98,31:33.71,1:23.19,1:24.95,1:57.37,1:59.27,2:31.68,2:34.78,4:02.38,4:05.67,4:21.50,4:25.29,5:33.27,5:36.70,6:15.67,9:42.26
828,8:41.26,8:44.57,9:21.60,9:28.11,14:54.05,15:05.66,31:32.95,1:23.16,1:24.92,1:57.33,1:59.23,2:31.63,2:34.73,4:02.29,4:05.59,4:21.41,4:25.20,5:33.15,5:36.59,6:15.50,9:41.99
829,8:41.06,8:44.38,9:21.40,9:27.91,14:53.72,15:05.33,31:32.19,1:23.13,1:24.89,1:57.29,1:59.19,2:31.58,2:34.68,4:02.21,4:05.50,4:21.31,4:25.11,5:33.03,5:36.47,6:15.33,9:41.73
830,8:40.87,8:44.19,9:21.19,9:27.70,14:53.39,15:05.01,31:31.44,1:23.11,1:24.86,1:57.25,1:59.15,2:31.52,2:34.63,4:02.12,4:05.42,4:21.22,4:25.02,5:32.92,5:36.36,6:15.15,9:41.47
831,8:40.68,8:44.00,9:20.98,9:27.50,14:53.06,15:04.69,31:30.68,1:23.08,1:24.83,1:57.21,1:59.11,2:31.47,2:34.58,4:02.03,4:05.33,4:21.13,4:24.93,5:32.80,5:36.24,6:14.98,9:41.20
832,8:40.49,8:43.81,9:20.77,9:27.30,14:52.73,15:04.37,31:29.92,1:23.05,1:24.81,1:57.17,1:59.07,2:31.42,2:34.53,4:01.95,4:05.25,4:21.03,4:24.84,5:32.68,5:36.12,6:14.81,9:40.94
833,8:40.29,8:43.62,9:20.57,9:27.09,14:52.40,15:04.05,31:29.16,1:23.02,1:24.78,1:57.13,1:59.03,2:31.37,2:34.48,4:01.86,4:05.16,4:20.94,4:24.75,5:32.56,5:36.01,6:14.64,9:40.67
834,8:40.10,8:43.43,9:20.36,9:26.89,14:52.08,15:03.72,31:28.41,1:22.99,1:24.75,1:57.09,1:59.00,2:31.32,2:34.43,4:01.78,4:05.08,4:20.85,4:24.66,5:32.45,5:35.89,6:14.47,9:40.41
835,8:39.91,8:43.24,9:20.16,9:26.68,14:51.75,15:03.40,31:27.65,1:22.97,1:24.72,1:57.06,1:58.96,2:31.27,2:34.37,4:01.69,4:05.00,4:20.76,4:24.57,5:32.33,5:35.78,6:14.30,9:40.15
836,8:39.72,8:43.05,9:19.95,9:26.48,14:51.42,15:03.08,31:26.90,1:22.94,1:24.70,1:57.02,1:58.92,2:31.21,2:34.32,4:01.60,4:04.91,4:20.67,4:24.48,5:32.21,5:35.66,6:14.13,9:39.88
837,8:39.53,8:42.86,9:19.74,9:26.28,14:51.09,15:02.76,31:26.14,1:22.91,1:24.67,1:56.98,1:58.88,2:31.16,2:34.27,4:01.52,4:04.83,4:20.57,4:24.39,5:32.09,5:35.55,6:13.96,9:39.62
838,8:39.34,8:42.67,9:19.54,9:26.07,14:50.76,15:02.44,31:25.39,1:22.88,1:24.64,1:56.94,1:58.84,2:31.11,2:34.22,4:01.43,4:04.74,4:20.48,4:24.30,5:31.98,5:35.43,6:13.79,9:39.36
839,8:39.14,8:42.48,9:19.33,9:25.87,14:50.44,15:02.12,31:24.63,1:22.86,1:24.61,1:56.90,1:58.80,2:31.06,2:34.17,4:01.35,4:04.66,4:20.39,4:24.21,5:31.86,5:35.32,6:13.61,9:39.09
840,8:38.95,8:42.29,9:19.12,9:25.67,14:50.11,15:01.80,31:23.88,1:22.83,1:24.59,1:56.86,1:58.76,2:31.01,2:34.12,4:01.26,4:04.57,4:20.30,4:24.12,5:31.74,5:35.20,6:13.44,9:38.83
841,8:38.76,8:42.10,9:18.92,9:25.46,14:49.78,15:01.48,31:23.12,1:22.80,1:24.56,1:56.82,1:58.72,2:30.96,2:34.07,4:01.18,4:04.49,4:20.20,4:24.03,5:31.63,5:35.09,6:13.27,9:38.57
842,8:38.57,8:41.91,9:18.71,9:25.26,14:49.45,15:01.16,31:22.37,1:22.77,1:24.53,1:56.78,1:58.68,2:30.91,2:34.02,4:01.09,4:04.41,4:20.11,4:23.94,5:31.51,5:34.98,6:13.10,9:38.31
843,8:38.38,8:41.72,9:18.51,9:25.06,14:49.13,15:00.84,31:21.62,1:22.74,1:24.50,1:56.74,1:58.65,2:30.85,2:33.96,4:01.01,4:04.32,4:20.02,4:23.85,5:31.39,5:34.86,6:12.93,9:38.05
844,8:38.19,8:41.53,9:18.30,9:24.86,14:48.80,15:00.52,31:20.87,1:22.72,1:24.48,1:56.71,1:58.61,2:30.80,2:33.91,4:00.92,4:04.24,4:19.93,4:23.76,5:31.28,5:34.75,6:12.76,9:37.78
845,8:38.00,8:41.34,9:18.10,9:24.65,14:48.47,15:00.20,31:20.11,1:22.69,1:24.45,1:56.67,1:58.57,2:30.75,2:33.86,4:00.84,4:04.15,4:19.84,4:23.67,5:31.16,5:34.63,6:12.59,9:37.52
846,8:37.81,8:41.16,9:17.89,9:24.45,14:48.15,14:59.88,31:19.36,1:22.66,1:24.42,1:56.63,1:58.53,2:30.70,2:33.81,4:00.75,4:04.07,4:19.74,4:23.58,5:31.04,5:34.52,6:12.42,9:37.26
847,8:37.62,8:40.97,9:17.69,9:24.25,14:47.82,14:59.56,31:18.61,1:22.63,1:24.39,1:56.59,1:58.49,2:30.65,2:33.76,4:00.66,4:03.99,4:19.65,4:23.49,5:30.93,5:34.40,6:12.25,9:37.00
848,8:37.43,8:40.78,9:17.48,9:24.05,14:47.50,14:59.24,31:17.86,1:22.61,1:24.36,1:56.55,1:58.45,2:30.60,2:33.71,4:00.58,4:03.90,4:19.56,4:23.40,5:30.81,5:34.29,6:12.08,9:36.74
849,8:37.24,8:40.59,9:17.28,9:23.84,14:47.17,14:58.92,31:17.11,1:22.58,1:24.34,1:56.51,1:58.41,2:30.55,2:33.66,4:00.49,4:03.82,4:19.47,4:23.31,5:30.70,5:34.17,6:11.91,9:36.48
850,8:37.05,8:40.40,9:17.07,9:23.64,14:46.84,14:58.60,31:16.36,1:22.55,1:24.31,1:56.47,1:58.38,2:30.49,2:33.61,4:00.41,4:03.73,4:19.38,4:23.22,5:30.58,5:34.06,6:11.74,9:36.21
851,8:36.86,8:40.22,9:16.87,9:23.44,14:46.52,14:58.29,31:15.61,1:22.52,1:24.28,1:56.44,1:58.34,2:30.44,2:33.56,4:00.32,4:03.65,4:19.29,4:23.13,5:30.46,5:33.95,6:11.57,9:35.95
852,8:36.67,8:40.03,9:16.66,9:23.24,14:46.19,14:57.97,31:14.87,1:22.50,1:24.26,1:56.40,1:58.30,2:30.39,2:33.51,4:00.24,4:03.57,4:19.20,4:23.04,5:30.35,5:33.83,6:11.40,9:35.69
853,8:36.48,8:39.84,9:16.46,9:23.04,14:45.87,14:57.65,31:14.12,1:22.47,1:24.23,1:56.36,1:58.26,2:30.34,2:33.46,4:00.15,4:03.48,4:19.10,4:22.95,5:30.23,5:33.72,6:11.24,9:35.43
854,8:36.29,8:39.65,9:16.26,9:22.83,14:45.54,14:57.33,31:13.37,1:22.44,1:24.20,1:56.32,1:58.22,2:30.29,2:33.41,4:00.07,4:03.40,4:19.01,4:22.86,5:30.12,5:33.60,6:11.07,9:35.17
855,8:36.10,8:39.46,9:16.05,9:22.63,14:45.22,14:57.01,31:12.62,1:22.41,1:24.17,1:56.28,1:58.18,2:30.24,2:33.35,3:59.98,4:03.32,4:18.92,4:22.78,5:30.00,5:33.49,6:10.90,9:34.91
856,8:35.91,8:39.28,9:15.85,9:22.43,14:44.90,14:56.70,31:11.88,1:22.39,1:24.15,1:56.24,1:58.14,2:30.19,2:33.30,3:59.90,4:03.23,4:18.83,4:22.69,5:29.88,5:33.38,6:10.73,9:34.65
857,8:35.72,8:39.09,9:15.64,9:22.23,14:44.57,14:56.38,31:11.13,1:22.36,1:24.12,1:56.21,1:58.11,2:30.14,2:33.25,3:59.82,4:03.15,4:18.74,4:22.60,5:29.77,5:33.26,6:10.56,9:34.39
858,8:35.53,8:38.90,9:15.44,9:22.03,14:44.25,14:56.06,31:10.38,1:22.33,1:24.09,1:56.17,1:58.07,2:30.09,2:33.20,3:59.73,4:03.07,4:18.65,4:22.51,5:29.65,5:33.15,6:10.39,9:34.13
859,8:35.34,8:38.72,9:15.24,9:21.83,14:43.92,14:55.75,31:09.64,1:22.30,1:24.06,1:56.13,1:58.03,2:30.04,2:33.15,3:59.65,4:02.98,4:18.56,4:22.42,5:29.54,5:33.04,6:10.22,9:33.87
860,8:35.15,8:38.53,9:15.03,9:21.63,14:43.60,14:55.43,31:08.89,1:22.28,1:24.04,1:56.09,1:57.99,2:29.98,2:33.10,3:59.56,4:02.90,4:18.47,4:22.33,5:29.42,5:32.92,6:10.05,9:33.61
861,8:34.97,8:38.34,9:14.83,9:21.43,14:43.28,14:55.11,31:08.15,1:22.25,1:24.01,1:56.05,1:57.95,2:29.93,2:33.05,3:59.48,4:02.82,4:18.37,4:22.24,5:29.31,5:32.81,6:09.88,9:33.35
862,8:34.78,8:38.16,9:14.63,9:21.23,14:42.95,14:54.80,31:07.40,1:22.22,1:23.98,1:56.01,1:57.91,2:29.88,2:33.00,3:59.39,4:02.73,4:18.28,4:22.15,5:29.19,5:32.70,6:09.72,9:33.09
863,8:34.59,8:37.97,9:14.42,9:21.03,14:42.63,14:54.48,31:06.66,1:22.19,1:23.95,1:55.98,1:57.88,2:29.83,2:32.95,3:59.31,4:02.65,4:18.19,4:22.07,5:29.08,5:32.58,6:09.55,9:32.83
864,8:34.40,8:37.78,9:14.22,9:20.83,14:42.31,14:54.16,31:05.92,1:22.17,1:23.93,1:55.94,1:57.84,2:29.78,2:32.90,3:59.22,4:02.57,4:18.10,4:21.98,5:28.96,5:32.47,6:09.38,9:32.57
865,8:34.21,8:37.60,9:14.02,9:20.62,14:41.99,14:53.85,31:05.17,1:22.14,1:23.90,1:55.90,1:57.80,2:29.73,2:32.85,3:59.14,4:02.48,4:18.01,4:21.89,5:28.85,5:32.36,6:09.21,9:32.32
866,8:34.02,8:37.41,9:13.82,9:20.42,14:41.66,14:53.53,31:04.43,1:22.11,1:23.87,1:55.86,1:57.76,2:29.68,2:32.80,3:59.05,4:02.40,4:17.92,4:21.80,5:28.73,5:32.24,6:09.04,9:32.06
867,8:33.83,8:37.22,9:13.61,9:20.22,14:41.34,14:53.22,31:03.69,1:22.08,1:23.85,1:55.82,1:57.72,2:29.63,2:32.75,3:58.97,4:02.32,4:17.83,4:21.71,5:28.61,5:32.13,6:08.88,9:31.80
868,8:33.65,8:37.04,9:13.41,9:20.02,14:41.02,14:52.90,31:02.95,1:22.06,1:23.82,1:55.78,1:57.68,2:29.58,2:32.70,3:58.89,4:02.24,4:17.74,4:21.62,5:28.50,5:32.02,6:08.71,9:31.54
869,8:33.46,8:36.85,9:13.21,9:19.82,14:40.70,14:52.59,31:02.21,1:22.03,1:23.79,1:55.75,1:57.65,2:29.53,2:32.65,3:58.80,4:02.15,4:17.65,4:21.53,5:28.39,5:31.90,6:08.54,9:31.28
870,8:33.27,8:36.67,9:13.01,9:19.63,14:40.37,14:52.27,31:01.47,1:22.00,1:23.76,1:55.71,1:57.61,2:29.48,2:32.60,3:58.72,4:02.07,4:17.56,4:21.45,5:28.27,5:31.79,6:08.37,9:31.02
871,8:33.08,8:36.48,9:12.80,9:19.43,14:40.05,14:51.96,31:00.73,1:21.97,1:23.74,1:55.67,1:57.57,2:29.43,2:32.55,3:58.63,4:01.99,4:17.47,4:21.36,5:28.16,5:31.68,6:08.20,9:30.77
872,8:32.90,8:36.29,9:12.60,9:19.23,14:39.73,14:51.64,30:59.99,1:21.95,1:23.71,1:55.63,1:57.53,2:29.38,2:32.50,3:58.55,4:01.91,4:17.38,4:21.27,5:28.04,5:31.57,6:08.04,9:30.51
873,8:32.71,8:36.11,9:12.40,9:19.03,14:39.41,14:51.33,30:59.25,1:21.92,1:23.68,1:55.59,1:57.49,2:29.33,2:32.45,3:58.47,4:01.82,4:17.29,4:21.18,5:27.93,5:31.45,6:07.87,9:30.25
874,8:32.52,8:35.92,9:12.20,9:18.83,14:39.09,14:51.01,30:58.51,1:21.89,1:23.66,1:55.56,1:57.46,2:29.28,2:32.40,3:58.38,4:01.74,4:17.20,4:21.09,5:27.81,5:31.34,6:07.70,9:29.99
875,8:32.33,8:35.74,9:12.00,9:18.63,14:38.77,14:50.70,30:57.77,1:21.87,1:23.63,1:55.52,1:57.42,2:29.22,2:32.35,3:58.30,4:01.66,4:17.11,4:21.01,5:27.70,5:31.23,6:07.54,9:29.74
876,8:32.15,8:35.55,9:11.80,9:18.43,14:38.45,14:50.39,30:57.03,1:21.84,1:23.60,1:55.48,1:57.38,2:29.17,2:32.30,3:58.21,4:01.57,4:17.02,4:20.92,5:27.58,5:31.12,6:07.37,9:29.48
877,8:31.96,8:35.37,9:11.59,9:18.23,14:38.13,14:50.07,30:56.29,1:21.81,1:23.57,1:55.44,1:57.34,2:29.12,2:32.25,3:58.13,4:01.49,4:16.93,4:20.83,5:27.47,5:31.00,6:07.20,9:29.22
878,8:31.77,8:35.18,9:11.39,9:18.03,14:37.81,14:49.76,30:55.56,1:21.78,1:23.55,1:55.40,1:57.30,2:29.07,2:32.20,3:58.05,4:01.41,4:16.84,4:20.74,5:27.35,5:30.89,6:07.03,9:28.96
879,8:31.59,8:35.00,9:11.19,9:17.83,14:37.49,14:49.45,30:54.82,1:21.76,1:23.52,1:55.37,1:57.27,2:29.02,2:32.15,3:57.96,4:01.33,4:16.75,4:20.65,5:27.24,5:30.78,6:06.87,9:28.71
880,8:31.40,8:34.81,9:10.99,9:17.63,14:37.17,14:49.13,30:54.08,1:21.73,1:23.49,1:55.33,1:57.23,2:28.97,2:32.10,3:57.88,4:01.25,4:16.66,4:20.57,5:27.13,5:30.67,6:06.70,9:28.45
881,8:31.21,8:34.63,9:10.79,9:17.44,14:36.85,14:48.82,30:53.35,1:21.70,1:23.47,1:55.29,1:57.19,2:28.92,2:32.05,3:57.80,4:01.16,4:16.57,4:20.48,5:27.01,5:30.56,6:06.53,9:28.19
882,8:31.03,8:34.44,9:10.59,9:17.24,14:36.53,14:48.51,30:52.61,1:21.68,1:23.44,1:55.25,1:57.15,2:28.87,2:32.00,3:57.71,4:01.08,4:16.48,4:20.39,5:26.90,5:30.44,6:06.37,9:27.94
883,8:30.84,8:34.26,9:10.39,9:17.04,14:36.21,14:48.20,30:51.88,1:21.65,1:23.41,1:55.21,1:57.11,2:28.82,2:31.95,3:57.63,4:01.00,4:16.39,4:20.30,5:26.78,5:30.33,6:06.20,9:27.68
884,8:30.65,8:34.07,9:10.19,9:16.84,14:35.89,14:47.88,30:51.14,1:21.62,1:23.39,1:55.18,1:57.08,2:28.77,2:31.90,3:57.55,4:00.92,4:16.30,4:20.22,5:26.67,5:30.22,6:06.03,9:27.43
885,8:30.47,8:33.89,9:09.99,9:16.64,14:35.57,14:47.57,30:50.41,1:21.59,1:23.36,1:55.14,1:57.04,2:28.72,2:31.85,3:57.46,4:00.83,4:16.21,4:20.13,5:26.56,5:30.11,6:05.87,9:27.17
886,8:30.28,8:33.71,9:09.79,9:16.45,14:35.25,14:47.26,30:49.67,1:21.57,1:23.33,1:55.10,1:57.00,2:28.67,2:31.80,3:57.38,4:00.75,4:16.12,4:20.04,5:26.44,5:30.00,6:05.70,9:26.91
887,8:30.09,8:33.52,9:09.59,9:16.25,14:34.93,14:46.95,30:48.94,1:21.54,1:23.30,1:55.06,1:56.96,2:28.62,2:31.75,3:57.30,4:00.67,4:16.03,4:19.95,5:26.33,5:29.88,6:05.54,9:26.66
888,8:29.91,8:33.34,9:09.39,9:16.05,14:34.62,14:46.64,30:48.21,1:21.51,1:23.28,1:55.03,1:56.92,2:28.57,2:31.70,3:57.21,4:00.59,4:15.94,4:19.87,5:26.21,5:29.77,6:05.37,9:26.40
889,8:29.72,8:33.15,9:09.19,9:15.85,14:34.30,14:46.32,30:47.47,1:21.49,1:23.25,1:54.99,1:56.89,2:28.52,2:31.65,3:57.13,4:00.51,4:15.85,4:19.78,5:26.10,5:29.66,6:05.20,9:26.15
890,8:29.54,8:32.97,9:08.99,9:15.66,14:33.98,14:46.01,30:46.74,1:21.46,1:23.22,1:54.95,1:56.85,2:28.47,2:31.60,3:57.05,4:00.43,4:15.76,4:19.69,5:25.99,5:29.55,6:05.04,9:25.89
891,8:29.35,8:32.79,9:08.79,9:15.46,14:33.66,14:45.70,30:46.01,1:21.43,1:23.20,1:54.91,1:56.81,2:28.42,2:31.55,3:56.96,4:00.34,4:15.67,4:19.60,5:25.87,5:29.44,6:04.87,9:25.64
892,8:29.17,8:32.60,9:08.59,9:15.26,14:33.34,14:45.39,30:45.28,1:21.40,1:23.17,1:54.88,1:56.77,2:28.37,2:31.50,3:56.88,4:00.26,4:15.58,4:19.52,5:25.76,5:29.33,6:04.71,9:25.38
893,8:28.98,8:32.42,9:08.39,9:15.06,14:33.03,14:45.08,30:44.55,1:21.38,1:23.14,1:54.84,1:56.74,2:28.32,2:31.45,3:56.80,4:00.18,4:15.49,4:19.43,5:25.65,5:29.22,6:04.54,9:25.13
894,8:28.80,8:32.24,9:08.19,9:14.87,14:32.71,14:44.77,30:43.81,1:21.35,1:23.12,1:54.80,1:56.70,2:28.27,2:31.40,3:56.71,4:00.10,4:15.40,4:19.34,5:25.53,5:29.10,6:04.38,9:24.87
895,8:28.61,8:32.05,9:07.99,9:14.67,14:32.39,14:44.46,30:43.08,1:21.32,1:23.09,1:54.76,1:56.66,2:28.22,2:31.35,3:56.63,4:00.02,4:15.31,4:19.26,5:25.42,5:28.99,6:04.21,9:24.62
896,8:28.43,8:31.87,9:07.79,9:14.47,14:32.07,14:44.15,30:42.35,1:21.30,1:23.06,1:54.73,1:56.62,2:28.17,2:31.30,3:56.55,3:59.94,4:15.22,4:19.17,5:25.31,5:28.88,6:04.05,9:24.36
897,8:28.24,8:31.69,9:07.59,9:14.28,14:31.76,14:43.84,30:41.62,1:21.27,1:23.04,1:54.69,1:56.59,2:28.12,2:31.25,3:56.47,3:59.85,4:15.13,4:19.08,5:25.19,5:28.77,6:03.88,9:24.11
898,8:28.06,8:31.50,9:07.39,9:14.08,14:31.44,14:43.53,30:40.90,1:21.24,1:23.01,1:54.65,1:56.55,2:28.07,2:31.20,3:56.38,3:59.77,4:15.04,4:18.99,5:25.08,5:28.66,6:03.72,9:23.86
899,8:27.87,8:31.32,9:07.19,9:13.88,14:31.12,14:43.22,30:40.17,1:21.22,1:22.98,1:54.61,1:56.51,2:28.02,2:31.15,3:56.30,3:59.69,4:14.96,4:18.91,5:24.97,5:28.55,6:03.55,9:23.60
900,8:27.69,8:31.14,9:06.99,9:13.69,14:30.81,14:42.91,30:39.44,1:21.19,1:22.96,1:54.58,1:56.47,2:27.97,2:31.10,3:56.22,3:59.61,4:14.87,4:18.82,5:24.86,5:28.44,6:03.39,9:23.35
901,8:27.50,8:30.96,9:06.79,9:13.49,14:30.49,14:42.60,30:38.71,1:21.16,1:22.93,1:54.54,1:56.44,2:27.92,2:31.05,3:56.13,3:59.53,4:14.78,4:18.73,5:24.74,5:28.33,6:03.22,9:23.09
902,8:27.32,8:30.77,9:06.59,9:13.29,14:30.18,14:42.29,30:37.98,1:21.14,1:22.90,1:54.50,1:56.40,2:27.87,2:31.00,3:56.05,3:59.45,4:14.69,4:18.65,5:24.63,5:28.22,6:03.06,9:22.84
903,8:27.13,8:30.59,9:06.40,9:13.10,14:29.86,14:41.98,30:37.26,1:21.11,1:22.88,1:54.46,1:56.36,2:27.82,2:30.96,3:55.97,3:59.37,4:14.60,4:18.56,5:24.52,5:28.11,6:02.89,9:22.59
904,8:26.95,8:30.41,9:06.20,9:12.90,14:29.54,14:41.67,30:36.53,1:21.08,1:22.85,1:54.43,1:56.32,2:27.77,2:30.91,3:55.89,3:59.29,4:14.51,4:18.47,5:24.41,5:28.00,6:02.73,9:22.33
905,8:26.76,8:30.23,9:06.00,9:12.71,14:29.23,14:41.36,30:35.80,1:21.06,1:22.82,1:54.39,1:56.29,2:27.72,2:30.86,3:55.80,3:59.20,4:14.42,4:18.39,5:24.29,5:27.88,6:02.56,9:22.08
906,8:26.58,8:30.04,9:05.80,9:12.51,14:28.91,14:41.06,30:35.08,1:21.03,1:22.80,1:54.35,1:56.25,2:27.67,2:30.81,3:55.72,3:59.12,4:14.33,4:18.30,5:24.18,5:27.77,6:02.40,9:21.83
907,8:26.40,8:29.86,9:05.60,9:12.32,14:28.60,14:40.75,30:34.35,1:21.00,1:22.77,1:54.31,1:56.21,2:27.63,2:30.76,3:55.64,3:59.04,4:14.25,4:18.22,5:24.07,5:27.66,6:02.24,9:21.58
908,8:26.21,8:29.68,9:05.41,9:12.12,14:28.28,14:40.44,30:33.63,1:20.98,1:22.74,1:54.28,1:56.17,2:27.58,2:30.71,3:55.56,3:58.96,4:14.16,4:18.13,5:23.96,5:27.55,6:02.07,9:21.32
909,8:26.03,8:29.50,9:05.21,9:11.92,14:27.97,14:40.13,30:32.90,1:20.95,1:22.72,1:54.24,1:56.14,2:27.53,2:30.66,3:55.48,3:58.88,4:14.07,4:18.04,5:23.84,5:27.44,6:01.91,9:21.07
910,8:25.84,8:29.32,9:05.01,9:11.73,14:27.65,14:39.82,30:32.18,1:20.92,1:22.69,1:54.20,1:56.10,2:27.48,2:30.61,3:55.39,3:58.80,4:13.98,4:17.96,5:23.73,5:27.33,6:01.74,9:20.82
911,8:25.66,8:29.13,9:04.81,9:11.53,14:27.34,14:39.51,30:31.45,1:20.90,1:22.66,1:54.16,1:56.06,2:27.43,2:30.56,3:55.31,3:58.72,4:13.89,4:17.87,5:23.62,5:27.22,6:01.58,9:20.57
912,8:25.48,8:28.95,9:04.61,9:11.34,14:27.03,14:39.21,30:30.73,1:20.87,1:22.64,1:54.13,1:56.02,2:27.38,2:30.51,3:55.23,3:58.64,4:13.80,4:17.78,5:23.51,5:27.11,6:01.42,9:20.31
913,8:25.29,8:28.77,9:04.42,9:11.14,14:26.71,14:38.90,30:30.01,1:20.84,1:22.61,1:54.09,1:55.99,2:27.33,2:30.46,3:55.15,3:58.56,4:13.71,4:17.70,5:23.39,5:27.00,6:01.25,9:20.06
914,8:25.11,8:28.59,9:04.22,9:10.95,14:26.40,14:38.59,30:29.29,1:20.82,1:22.58,1:54.05,1:55.95,2:27.28,2:30.41,3:55.06,3:58.48,4:13.63,4:17.61,5:23.28,5:26.89,6:01.09,9:19.81
915,8:24.93,8:28.41,9:04.02,9:10.75,14:26.08,14:38.29,30:28.56,1:20.79,1:22.56,1:54.02,1:55.91,2:27.23,2:30.37,3:54.98,3:58.40,4:13.54,4:17.53,5:23.17,5:26.78,6:00.93,9:19.56
916,8:24.74,8:28.23,9:03.83,9:10.56,14:25.77,14:37.98,30:27.84,1:20.76,1:22.53,1:53.98,1:55.88,2:27.18,2:30.32,3:54.90,3:58.31,4:13.45,4:17.44,5:23.06,5:26.67,6:00.76,9:19.31
917,8:24.56,8:28.05,9:03.63,9:10.37,14:25.46,14:37.67,30:27.12,1:20.74,1:22.50,1:53.94,1:55.84,2:27.13,2:30.27,3:54.82,3:58.23,4:13.36,4:17.35,5:22.95,5:26.56,6:00.60,9:19.06
918,8:24.38,8:27.87,9:03.43,9:10.17,14:25.14,14:37.37,30:26.40,1:20.71,1:22.48,1:53.90,1:55.80,2:27.08,2:30.22,3:54.74,3:58.15,4:13.27,4:17.27,5:22.83,5:26.45,6:00.44,9:18.80
919,8:24.20,8:27.68,9:03.24,9:09.98,14:24.83,14:37.06,30:25.68,1:20.68,1:22.45,1:53.87,1:55.76,2:27.03,2:30.17,3:54.66,3:58.07,4:13.19,4:17.18,5:22.72,5:26.34,6:00.27,9:18.55
920,8:24.01,8:27.50,9:03.04,9:09.78,14:24.52,14:36.75,30:24.96,1:20.66,1:22.43,1:53.83,1:55.73,2:26.98,2:30.12,3:54.57,3:57.99,4:13.10,4:17.10,5:22.61,5:26.23,6:00.11,9:18.30
921,8:23.83,8:27.32,9:02.84,9:09.59,14:24.21,14:36.45,30:24.24,1:20.63,1:22.40,1:53.79,1:55.69,2:26.93,2:30.07,3:54.49,3:57.91,4:13.01,4:17.01,5:22.50,5:26.12,5:59.95,9:18.05
